"","...1","iso_code","region_group","income_group","country","survey","year","level","grade","category","sex","location","wealth","region","ethnicity","religion","language","disability","hh_edu_head","comp_prim_v2_m","comp_lowsec_v2_m","comp_upsec_v2_m","comp_prim_1524_m","comp_lowsec_1524_m","comp_upsec_2029_m","eduyears_2024_m","edu2_2024_m","edu4_2024_m","eduout_prim_m","eduout_lowsec_m","eduout_upsec_m","comp_prim_v2_no","comp_lowsec_v2_no","comp_upsec_v2_no","comp_prim_1524_no","comp_lowsec_1524_no","comp_upsec_2029_no","eduyears_2024_no","edu2_2024_no","edu4_2024_no","eduout_prim_no","eduout_lowsec_no","eduout_upsec_no","preschool_3_m","preschool_3_no","preschool_1ybefore_m","preschool_1ybefore_no","edu0_prim_m","edu0_prim_no","trans_prim_m","trans_prim_no","trans_lowsec_m","trans_lowsec_no","comp_higher_2yrs_2529_m","comp_higher_2yrs_2529_no","comp_higher_4yrs_2529_m","comp_higher_4yrs_2529_no","comp_higher_4yrs_3034_m","comp_higher_4yrs_3034_no","attend_higher_1822_m","attend_higher_1822_no","overage2plus_m","overage2plus_no","literacy_1524_m","literacy_1524_no","mlevel1_m","mlevel1_no","rlevel1_m","rlevel1_no","slevel1_m","slevel1_no","mlevel2_m","mlevel2_no","rlevel2_m","rlevel2_no","slevel2_m","slevel2_no","mlevel3_m","mlevel3_no","rlevel3_m","rlevel3_no","slevel3_m","slevel3_no","mlevel4_m","mlevel4_no","rlevel4_m","rlevel4_no","slevel4_m","slevel4_no"
"737",58530,"SLV","Latin America and the Caribbean","Upper middle income","El Salvador","EHPM",2001,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.7395,0.5618,0.4255,NA,NA,NA,NA,NA,NA,0.1088,0.2313,0.3934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"738",58531,"SLV","Latin America and the Caribbean","Upper middle income","El Salvador","EHPM",2002,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.7465,0.576,0.4173,NA,NA,NA,NA,NA,NA,0.0837,0.2016,0.3945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"739",58532,"SLV","Latin America and the Caribbean","Upper middle income","El Salvador","EHPM",2003,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.7451,0.5644,0.3838,NA,NA,NA,NA,NA,NA,0.0757,0.2146,0.4092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"740",58533,"SLV","Latin America and the Caribbean","Upper middle income","El Salvador","EHPM",2004,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.7766,0.5704,0.4115,NA,NA,NA,NA,NA,NA,0.0769,0.1967,0.3818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"741",58534,"SLV","Latin America and the Caribbean","Upper middle income","El Salvador","EHPM",2005,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.792,0.6113,0.4363,NA,NA,NA,NA,NA,NA,0.0615,0.1929,0.3666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"742",58535,"SLV","Latin America and the Caribbean","Upper middle income","El Salvador","EHPM",2006,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.7998,0.6233,0.4606,NA,NA,NA,NA,NA,NA,0.0559,0.1841,0.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"743",58536,"SLV","Latin America and the Caribbean","Upper middle income","El Salvador","Census",2007,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.793,0.5895,0.3247,NA,NA,NA,NA,NA,NA,0.051,0.161,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"744",58537,"SLV","Latin America and the Caribbean","Upper middle income","El Salvador","EHPM",2009,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.8327,0.6643,0.4844,NA,NA,NA,NA,NA,NA,0.0463,0.1487,0.3481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"745",58538,"SLV","Latin America and the Caribbean","Upper middle income","El Salvador","EHPM",2010,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.8425,0.6673,0.5099,NA,NA,NA,NA,NA,NA,0.0393,0.142,0.3394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"746",58539,"SLV","Latin America and the Caribbean","Upper middle income","El Salvador","EHPM",2012,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.8855,0.6849,0.5311,NA,NA,NA,NA,NA,NA,0.0273,0.1106,0.3431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"747",58540,"SLV","Latin America and the Caribbean","Upper middle income","El Salvador","EHPM",2013,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.8886,0.732,0.5483,NA,NA,NA,NA,NA,NA,0.0255,0.1356,0.3215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"748",58541,"SLV","Latin America and the Caribbean","Upper middle income","El Salvador","EHPM",2015,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9099,0.7284,0.5656,NA,NA,NA,NA,NA,NA,0.0274,0.1264,0.3329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"749",58542,"SLV","Latin America and the Caribbean","Upper middle income","El Salvador","EHPM",2016,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9005,0.7559,0.5728,NA,NA,NA,NA,NA,NA,0.0284,0.1257,0.3365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"750",58543,"SLV","Latin America and the Caribbean","Upper middle income","El Salvador","EHPM",2017,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.8984,0.7361,0.5633,NA,NA,NA,NA,NA,NA,0.0279,0.1396,0.3066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"751",58544,"SLV","Latin America and the Caribbean","Upper middle income","El Salvador","EHPM",2018,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9139,0.7514,0.6023,NA,NA,NA,NA,NA,NA,0.0239,0.1107,0.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"752",58545,"SUR","Latin America and the Caribbean","Upper middle income","Suriname","MICS",2018,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9029,0.5874,0.2731,NA,NA,NA,13.4675,NA,NA,0.0227,0.0554,0.1826,NA,NA,NA,NA,NA,NA,NA,NA,NA,2053,1212,832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"753",58546,"TGO","Sub-Saharan Africa","Low income","Togo","MICS",2017,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.7637,0.3926,0.1193,NA,NA,NA,8.7423,NA,NA,0.0944,0.1435,0.4018,NA,NA,NA,NA,NA,NA,NA,NA,NA,3155,1605,833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"754",58547,"THA","Eastern and South-eastern Asia","Upper middle income","Thailand","Census",2000,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9617,0.7686,0.3912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"755",58548,"TJK","Central and Southern Asia","Lower middle income","Tajikistan","DHS",2017,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.981,0.9384,0.625,0.9749,0.8807,0.5852,10.6359,NA,0.0261,0.0242,0.0463,0.3729,1170,1242,1256,3966,3966,3945,2007,NA,2007,1917,1996,821,NA,NA,NA,NA,0.0148,1635,NA,NA,NA,NA,0.1747,1938,0.1738,1938,0.1678,1583,0.0198,22720,0.3514,4418,0.9774,3943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"756",58549,"TUN","Northern Africa and Western Asia","Lower middle income","Tunisia","MICS",2018,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9654,0.8033,0.5744,0.9489,0.9233,0.7018,13.276,NA,0.01,0.0304,0.0742,0.2118,955,947,941,3122,3122,3025,1522,NA,1522,2228,1022,1255,0.9651,494,0.6407,351,0.0095,1437,NA,NA,NA,NA,0.4666,1478,0.1775,1478,0.2095,1763,0.0696,7037,0.4309,3965,0.9716,3134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"757",58550,"TZA","Sub-Saharan Africa","Lower middle income","U. R. Tanzania","Census",2002,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.6057,0.0669,0.0151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"758",58551,"UGA","Sub-Saharan Africa","Low income","Uganda","Census",2002,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.3785,0.1276,0.0775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"759",58552,"URY","Latin America and the Caribbean","High income","Uruguay","ECH",2008,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.966,0.7176,0.3836,NA,NA,NA,NA,NA,NA,0.007,0.0477,0.2157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"760",58553,"URY","Latin America and the Caribbean","High income","Uruguay","ECH",2009,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9767,0.7245,0.3974,NA,NA,NA,NA,NA,NA,0.0098,0.0439,0.1851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"761",58554,"URY","Latin America and the Caribbean","High income","Uruguay","ECH",2010,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9709,0.7144,0.3859,NA,NA,NA,NA,NA,NA,0.0081,0.0388,0.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"762",58555,"URY","Latin America and the Caribbean","High income","Uruguay","ECH",2011,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9794,0.7054,0.4419,NA,NA,NA,NA,NA,NA,0.0172,0.0415,0.2152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"763",58556,"URY","Latin America and the Caribbean","High income","Uruguay","ECH",2012,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9809,0.7174,0.4082,NA,NA,NA,NA,NA,NA,0.0059,0.0397,0.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764",58557,"URY","Latin America and the Caribbean","High income","Uruguay","ECH",2014,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9823,0.7369,0.4183,NA,NA,NA,NA,NA,NA,0.0084,0.036,0.1605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"765",58558,"URY","Latin America and the Caribbean","High income","Uruguay","ECH",2015,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9762,0.7516,0.4096,NA,NA,NA,NA,NA,NA,0.0042,0.0294,0.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"766",58559,"URY","Latin America and the Caribbean","High income","Uruguay","ECH",2016,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9836,0.7407,0.4348,NA,NA,NA,NA,NA,NA,0.005,0.0294,0.1393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"767",58560,"URY","Latin America and the Caribbean","High income","Uruguay","ECH",2017,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9852,0.7705,0.4532,NA,NA,NA,NA,NA,NA,0.0061,0.0207,0.1201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"768",58561,"URY","Latin America and the Caribbean","High income","Uruguay","ECH",2018,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9839,0.7883,0.4682,NA,NA,NA,NA,NA,NA,0.0029,0.0192,0.1139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"769",58562,"VEN","Latin America and the Caribbean","Not classified","Venezuela, B. R.","EHM",2000,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9043,0.633,0.5006,NA,NA,NA,NA,NA,NA,0.0342,0.0638,0.2393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"770",58563,"VEN","Latin America and the Caribbean","Not classified","Venezuela, B. R.","EHM",2001,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9081,0.6648,0.5251,NA,NA,NA,NA,NA,NA,0.0288,0.0683,0.2234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"771",58564,"VEN","Latin America and the Caribbean","Not classified","Venezuela, B. R.","EHM",2002,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9119,0.6652,0.5135,NA,NA,NA,NA,NA,NA,0.0338,0.0612,0.2318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"772",58565,"VEN","Latin America and the Caribbean","Not classified","Venezuela, B. R.","EHM",2003,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.92,0.6902,0.5484,NA,NA,NA,NA,NA,NA,0.0347,0.056,0.2126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"773",58566,"VEN","Latin America and the Caribbean","Not classified","Venezuela, B. R.","EHM",2004,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9229,0.7167,0.5574,NA,NA,NA,NA,NA,NA,0.0347,0.0413,0.1666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"774",58567,"VEN","Latin America and the Caribbean","Not classified","Venezuela, B. R.","EHM",2005,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9246,0.7358,0.5916,NA,NA,NA,NA,NA,NA,0.0269,0.0392,0.1601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"775",58568,"VEN","Latin America and the Caribbean","Not classified","Venezuela, B. R.","EHM",2006,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.931,0.7687,0.6353,NA,NA,NA,NA,NA,NA,0.024,0.039,0.1447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"776",58569,"VEN","Latin America and the Caribbean","Not classified","Venezuela, B. R.","EHM",2007,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9308,0.7924,0.6755,NA,NA,NA,NA,NA,NA,0.0206,0.0413,0.1396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"777",58570,"VEN","Latin America and the Caribbean","Not classified","Venezuela, B. R.","EHM",2008,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9399,0.8178,0.6859,NA,NA,NA,NA,NA,NA,0.0203,0.0361,0.1435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"778",58571,"VEN","Latin America and the Caribbean","Not classified","Venezuela, B. R.","EHM",2009,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9445,0.8392,0.7256,NA,NA,NA,NA,NA,NA,0.0274,0.0518,0.1408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"779",58572,"VEN","Latin America and the Caribbean","Not classified","Venezuela, B. R.","EHM",2010,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.948,0.8356,0.7435,NA,NA,NA,NA,NA,NA,0.0191,0.0411,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
